"Population Aged 15 Years and Over  (Number) by Highest Level of"
"Education Completed, Age at which Full Time, Sex, Province County or"
"City and Census Year"

" "," "," "," ","2011"
"No formal education"
" ","Total whose full-time education has ceased"
" "," ","Both sexes"
#
"County","Number"
"Carlow",684
"Dublin",9198
"Kildare",1755
"Kilkenny",846
"Laois",801
"Longford",533
"Louth",1396
"Meath",1345
"Offaly",911
"Westmeath",938
"Wexford",1395
"Wicklow",1194
"Clare",864
"Cork",3961
"Kerry",1507
"Limerick",1934
"Tipperary",1480
"Waterford",1021
"Galway",2389
"Leitrim",353
"Mayo",1572
"Roscommon",719
"Sligo",853
"Ulster (part of)",4738
"Cavan",1040
"Donegal",3013
"Monaghan",685
